Project Title
Space Goggles
Space Goggles
Space Goggles
ReWryte
Work it Out
Work it Out
Work it Out
PudiAI
Untitled
Course Connect
Course Connect
Course Connect
Course Connect
Course Connect
SymptomSense
SymptomSense
SymptomSense
InFlow
InFlow
InFlow
InFlow
Street Fighter: Algorithm Annihilation
Street Fighter: Algorithm Annihilation
Street Fighter: Algorithm Annihilation
Street Fighter: Algorithm Annihilation
InSync
Untitled
Path indicator
DebbieAI
DebbieAI
DebbieAI
Pixelity
Pixelity
Pixelity
GestureAI
Untitled
T.I.M.E
T.I.M.E
T.I.M.E
T.I.M.E
T.I.M.E
Tuk Tuk
Tuk Tuk
SkinIQ
SkinIQ
Untitled
Brain Labs
Brain Labs
Brain Labs
Brain Labs
"I am a gamer, not a robot"
"I am a gamer, not a robot"
"I am a gamer, not a robot"
"I am a gamer, not a robot"
Courseflow
Courseflow
Home Inventory System
Home Inventory System
CommonGround
CommonGround - A Student Connection App
Voyager 
PeerPulse
PeerPulse
Fair Share
Fair Share
QR GENRATOR
CollabaMap
CollabaMap
CollabaMap
Blizzard Warning
Blizzard Warning
Smart_Camera
Smart_Camera
Smart_Camera
LiDARcade
LiDARcade
LiDARcade
xyloweft
xyloweft
xyloweft
Untitled
FormFriend
FormFriend
FormFriend
FormFriend
A.I.D.E.
commenTrix
commenTrix
commenTrix
PetVitals
PetVitals
Employr
Employr
Employr
SpatialForge
CreaStream
QuestLog
QuestLog
QuestLog
VibeVirtuoso
VibeVirtuoso
VibeVirtuoso
VibeVirtuoso
MajorMatch
MajorMatch
NFS-R (Network File System Reimagined (in Rust))
CampusConnect
Untitled
Auto Swarm
"SoundTrack - Your Music, Your Moments. Mapped"
Timely
EcoSplit
EcoSplit
EcoSplit
EcoSplit
EcoSplit
wagebait
ExamEdge
Nittany Exchange
Echo
Omelody
Pomen
Pomen
Pomen
Pomen
Pomen
Large Language Defense
MedCompass
MedCompass
MedCompass
MedCompass
Food Flow
Hyperweb
Hyperweb
Hyperweb
Hyperweb
Hyperweb
ClauseSense
ClauseSense
ClauseSense
GMB-Vocab
Devscan
Devscan
Devscan
Hangman 
Simplify
CyberScribe
Street Fighter: Algorithm Annihilation
Street Fighter: Algorithm Annihilation
Street Fighter: Algorithm Annihilation
Street Fighter: Algorithm Annihilation
Hack-Match
Hack-Match
Hack-Match
Verdict Academy
Verdict Academy
Verdict Academy
Verdict Academy
Wander AI
Wander AI
Wander AI
Wander AI
MyMuscle
MyMuscle
MyMuscle
Sync Lab
ShopTheLook
CKD Prediction
CKD Prediction
CKD Prediction
CKD Prediction
CrewUp: A group movie recommender
BareBonez
BareBonez
Apartment_Finder
TypingUpTomorrow
TypingUpTomorrow
Dumb Ways to Kill a Mosquito
Nittany Bites
Wallstreetbets Analyst
Wallstreetbets Analyst
Wallstreetbets Analyst
Tactical Sight
PSU GroupUp
PennSL
